OrderID,CustomerID,StoreID,EmployeeID,OrderDate,OrderStatus
54,2692,21,23,2024-01-15 21:00:00,Completed
55,3791,24,43,2023-03-15 16:00:00,Completed
56,2152,11,18,2024-08-17 17:00:00,Completed
57,1720,17,49,2024-11-19 10:00:00,Completed
58,186,24,43,2023-12-11 18:00:00,Completed
59,4134,18,49,2024-10-05 19:00:00,Completed
60,2582,12,,2024-08-10 16:00:00,Completed
61,2322,11,,2024-05-29 20:00:00,Completed
62,3604,3,23,2024-12-27 16:00:00,Completed
63,2392,15,6,2024-03-16 10:00:00,Completed
64,4163,8,12,2023-02-13 19:00:00,Completed
65,628,2,40,2023-03-12 20:00:00,Completed
66,1020,2,,2023-09-29 09:00:00,Cancelled
67,1101,17,17,2024-05-13 15:00:00,Completed
68,4058,13,49,2024-08-11 21:00:00,Completed
69,2209,11,23,2024-09-20 17:00:00,Completed
70,3144,9,50,2024-07-20 17:00:00,Completed
71,2943,17,15,2024-12-03 16:00:00,Completed
72,924,12,,2023-01-09 18:00:00,Completed
73,2918,15,1,2023-08-27 10:00:00,Completed
74,1763,6,50,2024-12-22 13:00:00,Completed
75,231,19,36,2023-10-11 17:00:00,Pending
76,1753,6,7,2023-10-24 09:00:00,Completed
77,460,5,3,2024-07-13 15:00:00,Completed
78,785,16,22,2024-09-11 14:00:00,Completed
79,3119,19,,2023-11-25 11:00:00,Completed
80,4483,3,1,2024-05-22 10:00:00,Completed
81,1080,6,6,2023-11-05 13:00:00,Completed
82,140,19,48,2023-05-26 20:00:00,Pending
83,3815,20,47,2024-04-26 15:00:00,Completed
84,4428,13,45,2023-04-04 11:00:00,Completed
85,482,1,18,2023-05-10 12:00:00,Completed
86,267,16,37,2023-04-01 18:00:00,Completed
87,1048,7,15,2023-07-26 15:00:00,Completed
88,4324,14,28,2023-05-01 12:00:00,Completed
89,500,1,,2023-08-02 21:00:00,Completed
90,4229,17,50,2023-04-24 18:00:00,Completed
91,1248,8,,2023-04-05 15:00:00,Completed
92,2007,2,,2024-07-14 15:00:00,Completed
93,4950,18,45,2023-03-29 14:00:00,Completed
94,2654,25,27,2023-01-13 10:00:00,Completed
95,783,2,18,2024-03-28 11:00:00,Completed
96,3204,5,,2023-01-02 11:00:00,Cancelled
97,143,1,11,2023-08-16 14:00:00,Cancelled
98,3257,4,4,2024-08-01 09:00:00,Completed
99,243,3,48,2024-07-29 12:00:00,Completed
100,241,21,35,2023-03-12 14:00:00,Completed
101,377,10,10,2023-09-22 13:00:00,Completed
102,1680,24,10,2024-01-10 16:00:00,Completed
103,1034,15,12,2023-06-17 14:00:00,Completed
104,2209,20,30,2024-02-23 17:00:00,Completed
105,2469,5,,2024-05-27 18:00:00,Completed
106,905,5,,2024-01-23 17:00:00,Completed
107,2319,21,50,2024-11-06 20:00:00,Completed
108,2764,22,19,2024-03-15 12:00:00,Completed
109,1489,3,,2023-04-11 10:00:00,Cancelled
110,3289,2,48,2023-07-10 12:00:00,Completed
111,1652,4,36,2023-03-01 12:00:00,Completed
112,4067,24,,2024-05-01 10:00:00,Completed
113,808,19,41,2023-02-22 20:00:00,Completed
114,4573,17,29,2023-12-19 20:00:00,Pending
115,3404,4,36,2023-08-21 16:00:00,Completed
116,4818,21,17,2024-11-24 18:00:00,Completed
117,4498,12,30,2023-01-16 19:00:00,Completed
118,4793,2,25,2023-07-10 11:00:00,Completed
119,2988,23,10,2023-09-09 18:00:00,Completed
120,80,7,,2023-03-16 09:00:00,Completed
121,2470,4,39,2023-03-09 12:00:00,Completed
122,2988,25,36,2023-03-14 15:00:00,Completed
123,140,4,18,2023-04-03 10:00:00,Completed
124,2630,24,8,2024-04-28 12:00:00,Completed
125,4904,15,,2024-01-21 19:00:00,Completed
126,3790,15,,2024-01-14 21:00:00,Completed
127,1884,16,4,2024-05-07 17:00:00,Cancelled
128,3761,22,,2023-11-05 17:00:00,Completed
129,3512,9,,2024-06-12 13:00:00,Completed
130,1028,7,28,2024-12-09 11:00:00,Completed
131,1928,9,,2024-12-11 14:00:00,Completed
132,2109,25,,2024-09-02 16:00:00,Completed
133,631,19,2,2023-09-18 11:00:00,Completed
134,872,25,,2024-10-20 11:00:00,Completed
135,2413,6,35,2024-03-09 11:00:00,Completed
136,65,7,12,2023-06-29 10:00:00,Pending
137,4476,1,29,2024-05-22 10:00:00,Completed
138,3386,15,,2024-08-20 12:00:00,Completed
139,1980,18,,2023-10-13 21:00:00,Completed
140,1843,5,11,2024-11-17 14:00:00,Completed
141,3708,13,11,2024-12-30 15:00:00,Completed
142,3061,1,1,2024-09-30 20:00:00,Completed
143,847,19,11,2023-02-15 17:00:00,Completed
144,2123,18,3,2023-09-01 18:00:00,Completed
145,3066,21,23,2023-06-21 12:00:00,Completed
146,3317,19,36,2024-11-30 09:00:00,Completed
147,1338,19,1,2023-06-16 13:00:00,Completed
148,2214,3,,2023-05-10 21:00:00,Completed
149,3289,7,,2023-05-27 12:00:00,Cancelled
150,3672,11,7,2023-04-06 18:00:00,Completed
151,2246,16,43,2024-02-15 11:00:00,Pending
152,1873,1,,2023-05-04 16:00:00,Completed
153,2719,12,,2023-12-29 20:00:00,Completed
154,3618,16,30,2024-11-13 09:00:00,Completed
155,4111,18,17,2023-05-15 11:00:00,Cancelled
156,3132,19,,2024-07-09 16:00:00,Completed
157,1360,11,35,2024-01-02 18:00:00,Pending
158,1409,1,18,2024-05-04 11:00:00,Completed
159,657,19,36,2024-10-14 14:00:00,Completed
160,2457,15,,2024-11-10 19:00:00,Completed
161,1434,20,,2023-03-31 13:00:00,Completed
162,1517,3,19,2024-08-17 14:00:00,Completed
163,1645,18,9,2023-08-13 12:00:00,Completed
164,909,22,4,2023-11-25 15:00:00,Completed
165,3471,3,28,2024-04-19 11:00:00,Completed
166,1639,23,,2024-03-21 13:00:00,Completed
167,1708,9,12,2023-02-02 15:00:00,Completed
168,3616,1,32,2023-12-15 10:00:00,Completed
169,1379,8,28,2023-10-01 10:00:00,Completed
170,340,9,12,2023-05-21 15:00:00,Completed
171,2195,6,,2024-10-02 14:00:00,Completed
172,2146,22,20,2023-08-14 16:00:00,Completed
173,675,18,42,2023-02-22 15:00:00,Completed
174,4534,3,20,2024-02-02 21:00:00,Completed
175,1368,19,1,2023-03-03 11:00:00,Completed
176,2977,14,28,2023-01-21 13:00:00,Cancelled
177,986,18,12,2023-01-23 15:00:00,Completed
178,4116,25,39,2024-06-04 19:00:00,Completed
179,4127,25,26,2023-06-23 20:00:00,Completed
180,4466,13,29,2024-07-28 15:00:00,Completed
181,122,16,,2024-08-14 19:00:00,Completed
182,2645,25,15,2023-05-03 17:00:00,Completed
183,714,22,21,2023-11-11 09:00:00,Cancelled
184,4975,17,,2023-01-03 14:00:00,Completed
185,618,15,8,2023-02-25 20:00:00,Completed
186,425,4,17,2024-10-22 17:00:00,Completed
187,4908,5,20,2023-02-17 10:00:00,Completed
188,2425,10,21,2024-02-29 17:00:00,Completed
189,3826,21,5,2023-12-14 18:00:00,Completed
190,3869,13,1,2024-01-30 10:00:00,Completed
191,2207,7,39,2023-07-19 19:00:00,Completed
192,1169,10,,2023-10-30 21:00:00,Completed
193,74,6,18,2023-08-17 16:00:00,Completed
194,1090,25,20,2023-10-28 12:00:00,Completed
195,2281,22,,2024-06-29 16:00:00,Completed
196,2265,23,10,2024-05-25 12:00:00,Completed
197,414,9,,2024-11-13 11:00:00,Completed
198,4663,19,13,2024-02-12 10:00:00,Cancelled
199,4942,24,14,2024-11-04 11:00:00,Completed
200,2024,9,4,2024-03-20 09:00:00,Completed
201,545,10,42,2023-01-11 09:00:00,Completed
202,2329,24,5,2024-11-08 12:00:00,Completed
203,272,19,28,2024-10-12 17:00:00,Completed
204,4672,16,28,2023-07-07 12:00:00,Completed
205,3032,13,1,2023-02-04 19:00:00,Cancelled
206,1253,25,47,2024-08-08 14:00:00,Cancelled
207,3316,4,,2023-07-18 16:00:00,Completed
208,1202,23,40,2024-11-10 11:00:00,Cancelled
209,3675,10,1,2023-12-08 21:00:00,Completed
210,3388,11,,2023-01-06 20:00:00,Completed
211,1958,22,,2024-01-01 10:00:00,Completed
212,4169,1,35,2023-03-17 17:00:00,Completed
213,3874,1,,2023-02-18 19:00:00,Completed
214,151,25,46,2023-05-01 17:00:00,Completed
215,1955,17,35,2023-06-14 21:00:00,Completed
216,3131,10,46,2023-06-11 18:00:00,Completed
217,3539,16,,2023-02-24 21:00:00,Completed
218,2312,8,,2023-04-05 17:00:00,Completed
219,978,4,26,2024-02-13 12:00:00,Completed
220,1128,21,6,2023-02-28 17:00:00,Completed
221,3981,13,9,2023-09-07 18:00:00,Completed
222,3149,3,20,2023-08-26 09:00:00,Completed
223,341,13,28,2024-11-13 15:00:00,Completed
224,4465,19,,2024-03-15 13:00:00,Completed
225,1639,25,49,2024-09-14 13:00:00,Completed
226,4039,10,17,2024-12-30 15:00:00,Completed
227,2871,17,19,2024-09-01 15:00:00,Completed
228,2580,23,1,2023-06-02 10:00:00,Completed
229,1612,12,5,2024-03-07 15:00:00,Completed
230,739,14,7,2023-08-24 19:00:00,Completed
231,4840,11,37,2023-11-06 10:00:00,Completed
232,655,25,34,2023-05-07 18:00:00,Pending
233,1596,11,32,2024-02-02 10:00:00,Completed
234,727,18,1,2024-12-11 16:00:00,Completed
235,1177,23,45,2023-08-11 12:00:00,Completed
236,4864,21,,2024-04-16 15:00:00,Completed
237,4713,4,1,2023-09-02 19:00:00,Completed
238,4982,1,31,2024-09-11 18:00:00,Completed
239,3626,11,45,2024-02-03 09:00:00,Pending
240,2015,7,12,2024-02-07 21:00:00,Completed
241,277,13,20,2024-02-29 20:00:00,Completed
242,2566,6,20,2024-01-23 21:00:00,Completed
243,2214,1,28,2023-02-24 11:00:00,Completed
244,1564,17,23,2023-02-10 12:00:00,Completed
245,4810,23,44,2023-04-17 17:00:00,Pending
246,117,10,43,2024-12-02 15:00:00,Completed
247,4372,21,,2024-08-22 20:00:00,Pending
248,600,6,28,2023-09-15 09:00:00,Completed
249,4206,25,10,2024-05-31 20:00:00,Completed
250,2377,3,4,2024-11-04 17:00:00,Cancelled
251,3831,24,39,2024-10-19 14:00:00,Completed
252,3644,5,8,2023-09-05 09:00:00,Completed
253,4150,14,22,2023-11-23 20:00:00,Completed
254,1088,10,23,2024-02-29 21:00:00,Completed
255,4197,19,19,2023-11-06 13:00:00,Completed
256,2009,14,,2023-03-07 16:00:00,Completed
257,2727,24,,2023-03-04 11:00:00,Completed
258,4976,16,37,2024-03-19 19:00:00,Completed
259,4315,1,3,2024-01-07 15:00:00,Completed
260,1825,19,2,2023-01-15 18:00:00,Completed
261,363,8,23,2023-05-31 19:00:00,Completed
262,3605,22,19,2023-02-11 12:00:00,Completed
263,1651,1,49,2024-12-04 17:00:00,Completed
264,2954,24,46,2024-03-15 09:00:00,Completed
265,21,13,38,2023-04-12 16:00:00,Completed
266,192,14,16,2024-07-30 13:00:00,Completed
267,3510,11,46,2023-02-06 20:00:00,Completed
268,4067,11,38,2024-10-04 21:00:00,Completed
269,3200,6,36,2024-09-15 21:00:00,Completed
270,650,5,26,2023-01-18 19:00:00,Completed
271,4480,4,,2023-12-08 20:00:00,Completed
272,4883,2,4,2024-02-02 20:00:00,Completed
273,4190,22,28,2024-09-13 12:00:00,Completed
274,1565,11,29,2024-06-15 21:00:00,Completed
275,2608,15,3,2023-12-15 19:00:00,Completed
276,4171,18,5,2023-02-15 13:00:00,Completed
277,404,7,29,2023-06-06 12:00:00,Completed
278,438,5,20,2024-04-06 18:00:00,Completed
279,3501,10,5,2023-08-26 21:00:00,Completed
280,3224,18,14,2024-03-25 12:00:00,Completed
281,1858,8,,2023-11-08 19:00:00,Completed
282,3858,23,12,2023-10-26 21:00:00,Completed
283,4996,4,29,2024-10-04 16:00:00,Completed
284,2349,4,49,2024-08-01 17:00:00,Completed
285,2358,1,9,2024-07-29 12:00:00,Completed
286,4794,13,12,2023-01-31 18:00:00,Completed
287,263,5,9,2023-09-04 13:00:00,Completed
288,133,4,29,2024-07-21 12:00:00,Completed
289,2010,25,5,2023-01-28 18:00:00,Completed
290,2923,24,25,2023-03-10 18:00:00,Completed
291,216,7,36,2023-04-05 13:00:00,Completed
292,1976,8,,2024-07-02 12:00:00,Completed
293,761,4,38,2024-08-17 12:00:00,Completed
294,3568,14,,2023-09-07 16:00:00,Completed
295,2050,8,35,2023-11-30 18:00:00,Pending
296,2623,14,22,2024-11-18 15:00:00,Completed
297,1608,1,4,2023-09-27 11:00:00,Completed
298,2675,5,,2023-12-10 20:00:00,Completed
299,4824,19,,2023-11-19 10:00:00,Completed
300,1443,2,9,2024-08-24 11:00:00,Completed
301,1713,8,13,2023-08-01 13:00:00,Completed
302,3373,22,9,2023-06-12 12:00:00,Completed
303,4195,14,18,2023-01-06 11:00:00,Completed
304,1987,9,36,2024-10-13 19:00:00,Completed
305,3143,13,22,2023-04-05 14:00:00,Completed
306,3413,14,18,2023-09-10 19:00:00,Completed
307,3341,5,50,2024-08-17 20:00:00,Completed
308,3428,7,36,2023-06-10 19:00:00,Completed
309,215,14,26,2024-03-15 12:00:00,Completed
310,2904,8,33,2024-07-13 21:00:00,Completed
311,1706,16,,2023-09-08 09:00:00,Completed
312,157,18,25,2024-05-08 17:00:00,Pending
313,2278,5,41,2024-03-28 15:00:00,Completed
314,4692,9,43,2023-11-04 09:00:00,Completed
315,4512,8,15,2024-11-19 09:00:00,Completed
316,2023,19,47,2023-01-29 10:00:00,Completed
317,4469,23,47,2024-11-30 21:00:00,Completed
318,4738,21,43,2024-11-11 10:00:00,Cancelled
319,271,24,40,2023-05-02 15:00:00,Pending
320,2697,10,10,2023-09-22 17:00:00,Completed
321,4848,4,35,2024-11-18 10:00:00,Completed
322,1108,23,,2024-05-22 10:00:00,Completed
323,3970,23,,2024-10-09 13:00:00,Completed
324,1957,18,6,2024-03-14 12:00:00,Completed
325,2327,2,,2024-10-18 11:00:00,Completed
326,2977,10,5,2023-11-16 10:00:00,Completed
327,479,1,38,2024-06-02 18:00:00,Completed
328,1279,13,49,2024-10-15 20:00:00,Completed
329,42,13,27,2023-10-09 10:00:00,Completed
330,3374,14,4,2023-01-06 09:00:00,Cancelled
331,1147,8,,2023-12-26 21:00:00,Completed
332,2236,3,,2023-12-09 17:00:00,Completed
333,2843,22,,2024-12-22 10:00:00,Pending
334,2945,16,3,2024-03-23 13:00:00,Completed
335,633,20,49,2024-12-30 14:00:00,Completed
336,4551,20,25,2023-03-29 19:00:00,Completed
337,946,22,,2023-08-21 16:00:00,Completed
338,4527,11,32,2023-01-15 14:00:00,Completed
339,401,23,10,2024-09-09 15:00:00,Completed
340,3395,3,27,2024-02-13 14:00:00,Completed
341,3924,24,40,2023-01-21 17:00:00,Completed
342,1509,8,17,2023-01-10 17:00:00,Completed
343,2802,8,26,2023-11-12 10:00:00,Completed
344,4088,19,1,2023-01-30 15:00:00,Completed
345,4914,10,15,2023-05-28 18:00:00,Completed
346,1146,20,12,2023-10-14 09:00:00,Pending
347,3337,15,50,2023-05-15 09:00:00,Completed
348,41,13,9,2023-08-03 16:00:00,Completed
349,871,19,16,2023-04-08 19:00:00,Completed
350,815,13,,2023-07-08 20:00:00,Completed
351,2533,1,38,2024-01-13 14:00:00,Cancelled
352,4379,25,,2024-10-04 16:00:00,Completed
353,2890,7,45,2023-05-02 18:00:00,Completed
354,2631,16,27,2024-08-12 11:00:00,Completed
355,2016,5,,2024-10-09 15:00:00,Completed
356,4200,12,32,2024-10-13 17:00:00,Completed
357,2013,19,37,2023-09-08 16:00:00,Completed
358,4115,13,14,2023-12-19 18:00:00,Completed
359,2793,7,9,2024-08-06 10:00:00,Completed
360,3532,15,15,2023-06-17 20:00:00,Completed
361,2040,16,24,2023-12-20 12:00:00,Cancelled
362,2405,19,11,2023-09-24 17:00:00,Completed
363,900,5,4,2024-01-28 17:00:00,Pending
364,2207,5,,2023-08-09 13:00:00,Completed
365,52,10,32,2023-07-20 13:00:00,Completed
366,767,10,44,2024-10-27 18:00:00,Completed
367,3335,21,9,2024-03-31 09:00:00,Completed
368,2199,5,17,2024-11-23 17:00:00,Completed
369,4086,24,6,2024-12-08 17:00:00,Completed
370,4607,12,18,2024-03-21 18:00:00,Completed
371,2719,10,31,2023-01-01 10:00:00,Completed
372,502,10,,2023-10-20 13:00:00,Completed
373,845,9,14,2023-12-05 12:00:00,Completed
374,3990,15,3,2024-01-26 13:00:00,Completed
375,4239,14,,2024-02-03 15:00:00,Cancelled
376,342,24,2,2024-02-28 10:00:00,Completed
377,1164,4,50,2024-12-05 11:00:00,Completed
378,4955,7,,2024-03-11 15:00:00,Completed
379,3148,14,42,2024-04-18 11:00:00,Completed
380,2457,14,,2023-05-09 17:00:00,Completed
381,1368,16,31,2023-08-18 17:00:00,Completed
382,4937,2,,2024-02-04 12:00:00,Completed
383,1775,22,23,2023-10-30 19:00:00,Completed
384,4773,21,25,2024-03-13 10:00:00,Completed
385,3004,5,,2024-12-20 12:00:00,Completed
386,1494,5,38,2024-04-14 18:00:00,Completed
387,3452,2,22,2023-10-19 16:00:00,Completed
388,2857,18,14,2023-11-05 15:00:00,Completed
389,4674,13,6,2024-09-06 11:00:00,Completed
390,1967,5,,2024-02-01 13:00:00,Completed
391,323,2,48,2024-11-16 11:00:00,Completed
392,705,19,,2024-01-22 21:00:00,Completed
393,2624,14,14,2023-11-27 20:00:00,Cancelled
394,934,24,,2023-03-09 17:00:00,Completed
395,1886,2,46,2023-07-04 18:00:00,Completed
396,3516,17,,2023-03-26 11:00:00,Cancelled
397,4494,7,48,2023-04-01 09:00:00,Cancelled
398,1907,16,47,2023-05-24 19:00:00,Completed
399,4446,7,16,2024-02-12 11:00:00,Completed
400,1508,14,29,2024-02-16 11:00:00,Completed
401,4406,20,,2023-06-23 11:00:00,Completed
402,3115,10,,2023-11-27 18:00:00,Completed
403,2888,13,6,2023-11-12 18:00:00,Completed
404,2146,9,41,2023-01-05 20:00:00,Completed
405,296,16,37,2023-03-07 19:00:00,Completed
406,1728,4,2,2023-08-21 12:00:00,Completed
407,2978,8,48,2024-12-19 21:00:00,Completed
408,4039,7,20,2023-02-20 20:00:00,Completed
409,4212,7,18,2024-07-16 17:00:00,Completed
410,1969,5,,2024-02-06 13:00:00,Completed
411,4595,7,42,2024-02-23 21:00:00,Completed
412,2504,11,24,2024-07-02 09:00:00,Completed
413,2297,6,49,2023-01-09 09:00:00,Completed
414,2830,22,44,2023-05-26 18:00:00,Completed
415,2814,1,36,2024-12-14 19:00:00,Completed
416,1905,8,40,2024-12-01 19:00:00,Completed
417,3557,22,12,2023-07-09 16:00:00,Completed
418,2804,3,49,2024-07-21 20:00:00,Completed
419,2494,12,21,2023-04-07 10:00:00,Completed
420,1637,8,25,2023-07-10 17:00:00,Completed
421,4307,4,42,2023-06-27 21:00:00,Completed
422,1925,20,5,2024-09-09 15:00:00,Completed
423,3431,15,7,2023-05-09 19:00:00,Completed
424,379,22,,2023-09-06 15:00:00,Completed
425,2120,7,34,2023-01-25 20:00:00,Completed
426,1285,22,31,2023-03-28 09:00:00,Completed
427,527,15,11,2024-02-04 21:00:00,Pending
428,2640,15,30,2024-02-11 18:00:00,Completed
429,664,12,4,2024-09-01 20:00:00,Completed
430,2000,18,40,2024-01-22 20:00:00,Completed
431,3249,2,50,2023-11-20 17:00:00,Completed
432,564,18,10,2024-04-15 19:00:00,Completed
433,2301,13,,2023-11-18 10:00:00,Completed
434,4508,24,,2023-08-30 11:00:00,Completed
435,3117,20,,2024-12-19 16:00:00,Cancelled
436,413,16,30,2023-09-21 20:00:00,Completed
437,3759,1,6,2024-06-29 18:00:00,Completed
438,3716,14,16,2024-02-03 10:00:00,Completed
439,1793,1,32,2024-01-26 21:00:00,Completed
440,1782,22,46,2023-02-17 11:00:00,Completed
441,1678,24,19,2024-01-26 11:00:00,Completed
442,1521,10,8,2024-10-03 19:00:00,Completed
443,232,9,32,2024-07-18 17:00:00,Completed
444,1828,9,,2023-03-01 15:00:00,Completed
445,1286,9,34,2024-04-07 11:00:00,Completed
446,3936,11,34,2024-10-29 09:00:00,Completed
447,2287,18,22,2023-04-20 16:00:00,Completed
448,1731,21,46,2023-01-10 15:00:00,Completed
449,2500,20,32,2024-02-29 10:00:00,Completed
450,1366,23,,2023-02-24 15:00:00,Completed
451,1594,14,16,2023-08-16 21:00:00,Cancelled
452,1339,20,19,2023-02-27 12:00:00,Completed
453,1263,5,50,2023-10-13 20:00:00,Completed
454,2082,16,12,2023-07-08 14:00:00,Completed
455,1911,19,23,2023-05-05 20:00:00,Completed
456,2767,25,3,2024-02-14 17:00:00,Completed
457,882,15,50,2024-07-29 20:00:00,Completed
458,3855,7,29,2023-03-10 12:00:00,Completed
459,4303,24,4,2023-12-25 19:00:00,Completed
460,2290,8,49,2024-11-16 19:00:00,Completed
461,2245,1,37,2023-03-08 14:00:00,Completed
462,1100,10,6,2023-12-17 16:00:00,Completed
463,1485,24,12,2023-07-24 14:00:00,Completed
464,536,21,49,2024-08-05 13:00:00,Completed
465,1456,17,18,2023-01-03 15:00:00,Completed
466,840,24,28,2023-09-21 12:00:00,Completed
467,1095,18,2,2023-11-29 13:00:00,Completed
468,3058,20,31,2024-07-26 19:00:00,Completed
469,4502,17,3,2023-02-15 13:00:00,Completed
470,4415,20,30,2024-03-20 15:00:00,Completed
471,1761,17,46,2023-03-24 09:00:00,Cancelled
472,3461,1,25,2023-03-20 17:00:00,Completed
473,3564,19,2,2023-08-01 14:00:00,Completed
474,4400,19,,2023-07-02 21:00:00,Completed
475,1413,25,20,2024-12-23 16:00:00,Completed
476,156,24,2,2023-11-27 17:00:00,Completed
477,4012,15,25,2024-01-13 11:00:00,Pending
478,2305,7,17,2023-07-18 20:00:00,Completed
479,1017,15,23,2023-02-18 16:00:00,Completed
480,2171,16,24,2024-09-11 16:00:00,Completed
481,226,25,31,2024-04-15 21:00:00,Completed
482,1637,10,,2023-11-12 18:00:00,Completed
483,3351,12,47,2023-10-12 20:00:00,Completed
484,2994,8,12,2023-12-08 19:00:00,Completed
485,491,24,20,2024-08-07 20:00:00,Completed
486,4116,7,29,2023-04-15 19:00:00,Completed
487,3346,17,1,2023-04-06 17:00:00,Completed
488,1091,12,39,2023-01-17 20:00:00,Completed
489,1479,19,32,2024-12-09 12:00:00,Completed
490,449,12,,2024-11-01 15:00:00,Completed
491,2782,6,20,2024-04-09 20:00:00,Completed
492,673,18,44,2024-10-22 12:00:00,Completed
493,1603,9,27,2023-05-25 14:00:00,Completed
494,2816,20,4,2024-05-15 17:00:00,Completed
495,907,13,49,2024-01-05 21:00:00,Completed
496,337,24,,2024-08-08 10:00:00,Completed
497,4705,15,16,2023-06-10 10:00:00,Completed
498,2723,21,13,2023-04-01 12:00:00,Completed
499,2620,15,46,2023-11-07 19:00:00,Completed
500,452,14,6,2024-09-04 13:00:00,Completed
501,2049,5,8,2024-10-13 11:00:00,Completed
502,3295,6,25,2024-05-26 14:00:00,Pending
503,92,12,9,2024-12-26 10:00:00,Completed
504,3796,9,40,2023-11-26 11:00:00,Cancelled
505,2419,11,,2023-05-29 18:00:00,Completed
506,4228,13,,2024-12-24 11:00:00,Pending
507,2938,10,17,2023-09-26 09:00:00,Completed
508,289,4,22,2024-02-06 20:00:00,Completed
509,3487,23,40,2024-06-06 16:00:00,Completed
510,723,4,13,2023-05-22 18:00:00,Completed
511,127,7,14,2023-03-23 21:00:00,Completed
512,2127,15,47,2024-08-26 20:00:00,Completed
513,1762,21,,2023-04-06 20:00:00,Completed
514,1223,19,24,2023-12-06 15:00:00,Completed
515,3461,16,41,2024-06-10 14:00:00,Completed
516,2667,19,10,2023-10-03 20:00:00,Completed
517,1300,17,32,2024-12-27 14:00:00,Completed
518,4039,14,15,2023-05-04 20:00:00,Completed
519,66,2,14,2024-06-26 18:00:00,Pending
520,1272,6,10,2023-12-02 18:00:00,Completed
521,4651,21,17,2023-06-21 16:00:00,Completed
522,2734,8,16,2023-11-04 17:00:00,Completed
523,3970,9,26,2023-02-11 18:00:00,Completed
524,4698,3,,2024-12-14 21:00:00,Completed
525,1782,18,2,2024-01-01 14:00:00,Completed
526,4195,9,26,2024-01-15 15:00:00,Completed
527,3737,16,5,2023-04-13 18:00:00,Completed
528,4260,25,16,2023-10-10 18:00:00,Completed
529,2483,24,42,2024-05-07 09:00:00,Completed
530,3364,19,,2024-11-04 16:00:00,Completed
531,923,12,38,2024-02-19 20:00:00,Completed
532,1874,25,17,2023-09-16 16:00:00,Completed
533,4100,11,7,2023-12-27 14:00:00,Completed
534,1754,20,10,2023-12-03 19:00:00,Completed
535,2819,16,20,2024-11-21 20:00:00,Completed
536,964,25,,2024-06-27 21:00:00,Completed
537,2062,13,29,2023-11-04 09:00:00,Completed
538,1020,18,21,2024-12-11 12:00:00,Cancelled
539,323,25,,2024-11-25 09:00:00,Completed
540,1937,22,38,2024-01-09 18:00:00,Completed
541,373,16,,2024-12-21 17:00:00,Completed
542,387,20,20,2023-01-08 10:00:00,Completed
